Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
850A|ITXPNB0|850A|1000001755|00010||C3431629|SL01|12000.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00020||C3919120|SL01|6132.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00030||C3919522|SL01|8640.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00050||C5109706|SL01|9858.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00070||C5522006|SL01|6438.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00080||C6318606|SL01|1152.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00090||C6340103|SL01|702.000|ST||31/07/2023||00000|10|YDFN
850A|ITXPNB0|850A|1000001755|00100||C6342303|SL01|11082.000|ST||31/07/2023||00000|10|YDFN
850A|FRFAAA0|850A|1200000867|00010||LE709800|SL01|864.000|ST||31/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000868|00040||LE709000|SL01|2016.000|ST||31/07/2023||00000|30|ZMT1
850A|DEFAAR0|850A|4500068048|00041||S4536101|SL82|12.000|ST||31/07/2023|0033439804|00130|30|YTPL
850A|DEFAAR0|850A|4500068048|00111||S0804703|SL82|2.000|ST||31/07/2023|0033439804|00140|30|YTPL
850A|DEFAAR0|850A|4500068050|00071||S4063905|SL82|100.000|ST||31/07/2023|0033170799|00080|30|YTPL
850A|BESHNB0|850A|4500068148|00010||A9731703|SL01|8748.000|ST|X|31/07/2023|0033689957|00010|10|YKC1
850A|BESHNB0|850A|4500068148|00012||A9731703|SL01|8748.000|ST||31/07/2023||00000|10|YKC1
850A|BESHNB0|850A|4500068148|00020||A9732003|SL01|14580.000|ST|X|31/07/2023|0033689959|00010|10|YKC1
850A|BESHNB0|850A|4500068148|00022||A9732003|SL01|14580.000|ST||31/07/2023||00000|10|YKC1
850A|DEXUNB0|850A|4500068149|00010||A7257653|SL01|9180.000|ST||31/07/2023|0033689510|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00020||A9397505|SL01|2646.000|ST||31/07/2023|0033700775|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00030||A9632402|SL01|4080.000|ST||31/07/2023|0033700799|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00040||A9789303|SL01|2448.000|ST|X|31/07/2023|0033676336|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00041||A9789303|SL01|2448.000|ST||31/07/2023||00000|10|YKW1
850A|DEXUNB0|850A|4500068149|00050||C3648118|SL01|2952.000|ST|X|31/07/2023|0033667232|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00051||C3648114|SL01|2952.000|ST||31/07/2023||00000|10|YKW1
850A|DEXUNB0|850A|4500068149|00060||C5692360|SL01|1968.000|ST|X|31/07/2023|0033703780|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00061||C5692359|SL01|1968.000|ST||31/07/2023||00000|10|YKW1
850A|DEXUNB0|850A|4500068149|00070||C6104201|SL01|3198.000|ST||31/07/2023|0033703881|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00080||C6217301|SL01|6396.000|ST|X|31/07/2023|0033703895|00010|10|YKW1
850A|DEXUNB0|850A|4500068149|00081||C6217301|SL01|6396.000|ST||31/07/2023||00000|10|YKW1
850A|FRC8NB0|850A|4500068150|00010||A6546406|SL01|14226.000|ST|X|31/07/2023|0033700404|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00012||A6546406|SL01|14226.000|ST||31/07/2023||00000|10|YKC1
850A|FRC8NB0|850A|4500068150|00020||A6596312|SL01|7056.000|ST||31/07/2023|0033704701|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00030||A7225914|SL01|2400.000|ST||31/07/2023|0033704746|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00040||A7434005|SL01|4032.000|ST|X|31/07/2023|0033700422|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00042||A7434005|SL01|4032.000|ST||31/07/2023||00000|10|YKC1
850A|FRC8NB0|850A|4500068150|00050||A7650901|SL01|1260.000|ST||31/07/2023|0033663626|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00060||AA230303|SL01|21120.000|ST|X|31/07/2023|0033676889|00010|10|YKC1
850A|FRC8NB0|850A|4500068150|00062||AA230303|SL01|21120.000|ST||31/07/2023||00000|10|YKC1
850A|FRC8NB0|850A|4500068150|00070||C6844200|SL01|1920.000|ST||31/07/2023|0033683483|00010|10|YKC1
