Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
850A|FRKVNB0|850A|1000001747|00010||AA116701|SL01|11130.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001747|00030||AA126701|SL01|28800.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001747|00050||AA429801|SL01|18240.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001748|00010||AA035003|SL01|480.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001748|00030||AA035303|SL01|4608.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001748|00050||AA126701|SL01|996.000|ST||26/07/2023||00000|10|YDFN
850A|FRKVNB0|850A|1000001748|00070||AA429801|SL01|38304.000|ST||26/07/2023||00000|10|YDFN
850A|FRFAAA0|850A|1200000837|00010||LE337402|SL01|395.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00020||LE337301|SL01|114.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00030||LE337201|SL01|158.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00040||LE337101|SL01|79.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00050||LE337001|SL01|79.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00060||LE336801|SL01|66.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00070||LE336202|SL01|10.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00080||LE336101|SL01|10.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00090||LE335901|SL01|22.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00100||LE335601|SL01|79.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00110||LE335402|SL01|44.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00120||LE334502|SL01|5.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00130||LE326702|SL01|14.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00140||LE659700|SL01|157.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00150||LE659600|SL01|88.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00160||LE678500|SL01|3.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00170||LE334800|SL01|30.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00180||LE800200|SL01|513.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00190||LE337200|SL01|80.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00200||LE336201|SL01|20.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00210||LE335100|SL01|30.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00220||LE334501|SL01|70.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00230||LE800400|SL01|1137.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000837|00240||LE228000|SL01|2000.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000840|00011||S5042500|SL01|5400.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000840|00012||S5042501|SL01|4680.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000843|00010||LE638500|SL01|147.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000843|00020||LE651600|SL01|7425.000|ST|X|26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000843|00030||LE692000|SL01|4461.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00010||LE638500|SL01|360.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00020||LE711100|SL01|12000.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00030||LE709700|SL01|162.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00040||LE709000|SL01|96.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00050||LE707900|SL01|20001.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00060||LE707700|SL01|141.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00070||LE707200|SL01|42.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00080||LE652900|SL01|90.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00090||LE652700|SL01|45.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00100||LE652600|SL01|50025.000|ST|X|26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00110||LE652500|SL01|39.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00120||LE652100|SL01|10947.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00130||LE651600|SL01|36.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00140||LE651000|SL01|75.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00150||LE692000|SL01|7779.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00160||LE692100|SL01|1851.000|ST||26/07/2023||00000|30|ZMT1
850A|FRFAAA0|850A|1200000844|00170||LE691800|SL01|6879.000|ST||26/07/2023||00000|30|ZMT1
